source,route_or_endpoint,count,min,mean,p50,p95,p99,max,stddev
perf,/check-logged-in,64,3.52,691.66,7.335000000000001,2458.6219999999994,3393.9857999999954,4487.25,999.79
perf,/get-users,62,2.34,519.42,7.1899999999999995,1966.8235,2388.0266,2612.47,749.16
perf,/sessions,6,6.47,412.43,8.765,1406.75,1554.71,1591.7,610.86
perf,/image/:username,30,3.72,659.64,10.46,2813.4214999999986,3338.2648000000004,3479.46,989.23
perf,/availability,6,5.86,517.96,10.695,1817.9900000000002,2042.9660000000003,2099.21,790.21
perf,/buddies,355,1.76,257.12,8.94,1351.4990000000007,2286.451199999992,3987.74,573.72
perf,/info,10,12.22,254.06,15.85,1229.3719999999992,1503.5624,1572.11,498.76
perf,/candidates,625,1.85,335.98,10.8,1610.4479999999999,3781.2959999999966,6325.02,748.84
perf,/,266,2.77,335.43,6.155,1782.9825,2736.7760000000035,4497.58,687.09
perf,/logout,1,820.39,820.39,820.39,820.39,820.39,820.39,0.00
perf,/auth,1,94.28,94.28,94.28,94.28,94.28,94.28,0.00
perf,/:id,4,8.57,47.85,9.785,140.28099999999995,158.67219999999998,163.27,66.64
perf,/:id/users,4,126.33,198.85,155.39,329.1529999999999,352.4545999999999,358.28,93.01
perf,/addsinglebuddy,1,57.18,57.18,57.18,57.18,57.18,57.18,0.00
perf,/matchedbuddyinfo,6,7.38,9.31,8.725,12.58,13.436,13.65,2.04
bench,ts,0,0,0.00,0.00,0,0,0,0,0.00
bench,base,0,0,0.00,0.00,0,0,0,0,0.00
bench,concurrency,0,0,0.00,0.00,0,0,0,0,0.00
bench,totalRequests,0,0,0.00,0.00,0,0,0,0,0.00
bench,report,0,0,0.00,0.00,0,0,0,0,0.00
